"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 20 19:32:47 IDT 2024","Sat Apr 20 19:32:53 IDT 2024","6216","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process","","","Select a Listing",""
"passed","Sat Apr 20 20:26:02 IDT 2024","Sat Apr 20 20:26:04 IDT 2024","1223","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process @Web","","","Adjust and Verify Guest Count",""
"passed","Sat Apr 20 20:26:02 IDT 2024","Sat Apr 20 20:26:02 IDT 2024","107","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process @Web","","","Confirm Booking Details",""
"passed","Sat Apr 20 20:26:04 IDT 2024","Sat Apr 20 20:26:04 IDT 2024","406","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process @Web","","","Reserve and Validate",""
"passed","Sat Apr 20 19:32:39 IDT 2024","Sat Apr 20 19:32:47 IDT 2024","7528","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process","","","Search for a Stay",""
"passed","Sat Apr 20 20:26:04 IDT 2024","Sat Apr 20 20:26:04 IDT 2024","3","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process @Web","","","Change Booking Dates",""
"passed","Sat Apr 20 19:32:53 IDT 2024","Sat Apr 20 19:32:54 IDT 2024","414","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process","","","Confirm Booking Details",""
"passed","Sat Apr 20 19:32:54 IDT 2024","Sat Apr 20 19:32:54 IDT 2024","651","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process","","","Adjust and Verify Guest Count",""
"passed","Sat Apr 20 19:32:54 IDT 2024","Sat Apr 20 19:32:55 IDT 2024","437","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process","","","Reserve and Validate",""
"passed","Sat Apr 20 20:25:50 IDT 2024","Sat Apr 20 20:25:56 IDT 2024","6075","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process @Web","","","Search for a Stay",""
"passed","Sat Apr 20 20:25:56 IDT 2024","Sat Apr 20 20:26:02 IDT 2024","5957","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process @Web","","","Select a Listing",""
"passed","Sat Apr 20 19:32:54 IDT 2024","Sat Apr 20 19:32:54 IDT 2024","4","chromium","roomReservationTests\reserveAStay.spec.js","Reservation Process","","","Change Booking Dates",""
